Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 1.0852e+01	 1.0000e-04	 5.2011e+04	 1.0796e+01	 4.8953e+04	
 2.0000e+00	 1.0722e+01	 1.0000e-04	 4.5692e+04	 1.0619e+01	 4.0991e+04	
 3.0000e+00	 1.0303e+01	 1.0000e-04	 3.1363e+04	 9.5197e+00	 1.3675e+04	
 4.0000e+00	 7.9393e+00	 1.0000e-04	 4.6179e+03	 6.7610e+00	 8.8867e+02	
 5.0000e+00	 5.7021e+00	 1.0000e-04	 3.1773e+02	 6.2519e+00	 5.5070e+02	
 6.0000e+00	 5.2887e+00	 1.0000e-04	 2.0151e+02	 6.2232e+00	 5.4309e+02	
 7.0000e+00	 5.1723e+00	 1.0000e-04	 1.7955e+02	 6.2241e+00	 5.4817e+02	
 8.0000e+00	 5.1161e+00	 1.0000e-04	 1.6925e+02	 6.2274e+00	 5.5322e+02	
 9.0000e+00	 5.0681e+00	 1.0000e-04	 1.6116e+02	 6.2233e+00	 5.5349e+02	
 1.0000e+01	 5.0310e+00	 1.0000e-04	 1.5531e+02	 6.2098e+00	 5.4820e+02	
 1.1000e+01	 4.9845e+00	 1.0000e-04	 1.4817e+02	 6.1943e+00	 5.4135e+02	
 1.2000e+01	 4.9497e+00	 1.0000e-04	 1.4332e+02	 6.1728e+00	 5.3080e+02	
 1.3000e+01	 4.8991e+00	 1.0000e-04	 1.3645e+02	 6.1501e+00	 5.2042e+02	
 1.4000e+01	 4.8574e+00	 1.0000e-04	 1.3099e+02	 6.1344e+00	 5.1349e+02	
 1.5000e+01	 4.8106e+00	 1.0000e-04	 1.2504e+02	 6.1119e+00	 5.0309e+02	
 1.6000e+01	 4.7607e+00	 1.0000e-04	 1.1900e+02	 6.0913e+00	 4.9381e+02	
 1.7000e+01	 4.7234e+00	 1.0000e-04	 1.1433e+02	 6.0745e+00	 4.8716e+02	
 1.8000e+01	 4.6971e+00	 1.0000e-04	 1.1157e+02	 6.0473e+00	 4.7421e+02	
 1.9000e+01	 4.6513e+00	 1.0000e-04	 1.0659e+02	 6.0306e+00	 4.6764e+02	
 2.0000e+01	 4.6290e+00	 1.0000e-04	 1.0437e+02	 6.0039e+00	 4.5556e+02	
 2.1000e+01	 4.5927e+00	 1.0000e-04	 1.0055e+02	 5.9895e+00	 4.5053e+02	
 2.2000e+01	 4.5402e+00	 1.0000e-04	 9.5525e+01	 5.9736e+00	 4.4423e+02	
 2.3000e+01	 4.5072e+00	 1.0000e-04	 9.2492e+01	 5.9590e+00	 4.3912e+02	
 2.4000e+01	 4.4902e+00	 1.0000e-04	 9.1185e+01	 5.9406e+00	 4.3157e+02	
 2.5000e+01	 4.4537e+00	 1.0000e-04	 8.7966e+01	 5.9301e+00	 4.2836e+02	
 2.6000e+01	 4.4141e+00	 1.0000e-04	 8.4485e+01	 5.9141e+00	 4.2238e+02	
 2.7000e+01	 4.3705e+00	 1.0000e-04	 8.1108e+01	 5.9005e+00	 4.1778e+02	
 2.8000e+01	 4.3383e+00	 1.0000e-04	 7.8567e+01	 5.8862e+00	 4.1283e+02	
 2.9000e+01	 4.3145e+00	 1.0000e-04	 7.6711e+01	 5.8815e+00	 4.1212e+02	
 3.0000e+01	 4.2700e+00	 1.0000e-04	 7.3588e+01	 5.8735e+00	 4.1019e+02	
 3.1000e+01	 4.2379e+00	 1.0000e-04	 7.1011e+01	 5.8519e+00	 4.0169e+02	
 3.2000e+01	 4.2242e+00	 1.0000e-04	 7.0252e+01	 5.8422e+00	 3.9901e+02	
 3.3000e+01	 4.2006e+00	 1.0000e-04	 6.8380e+01	 5.8287e+00	 3.9439e+02	
 3.4000e+01	 4.1449e+00	 1.0000e-04	 6.4759e+01	 5.8226e+00	 3.9316e+02	
 3.5000e+01	 4.1343e+00	 1.0000e-04	 6.4281e+01	 5.8238e+00	 3.9521e+02	
 3.6000e+01	 4.1019e+00	 1.0000e-04	 6.2324e+01	 5.7865e+00	 3.7984e+02	
 3.7000e+01	 4.0799e+00	 1.0000e-04	 6.0820e+01	 5.7924e+00	 3.8397e+02	
 3.8000e+01	 4.0513e+00	 1.0000e-04	 5.9468e+01	 5.7847e+00	 3.8209e+02	
 3.9000e+01	 4.0088e+00	 1.0000e-04	 5.6858e+01	 5.7869e+00	 3.8480e+02	
 4.0000e+01	 3.9728e+00	 1.0000e-04	 5.4693e+01	 5.7696e+00	 3.7847e+02	
 4.1000e+01	 3.9501e+00	 1.0000e-04	 5.3592e+01	 5.7624e+00	 3.7652e+02	
 4.2000e+01	 3.9329e+00	 1.0000e-04	 5.2759e+01	 5.7537e+00	 3.7376e+02	
 4.3000e+01	 3.9035e+00	 1.0000e-04	 5.1147e+01	 5.7418e+00	 3.7021e+02	
 4.4000e+01	 3.8628e+00	 1.0000e-04	 4.9101e+01	 5.7420e+00	 3.7145e+02	
 4.5000e+01	 3.8372e+00	 1.0000e-04	 4.7848e+01	 5.7356e+00	 3.7039e+02	
 4.6000e+01	 3.8278e+00	 1.0000e-04	 4.7502e+01	 5.7310e+00	 3.6950e+02	
 4.7000e+01	 3.7895e+00	 1.0000e-04	 4.5757e+01	 5.7244e+00	 3.6776e+02	
 4.8000e+01	 3.7608e+00	 1.0000e-04	 4.4451e+01	 5.7124e+00	 3.6364e+02	
 4.9000e+01	 3.7313e+00	 1.0000e-04	 4.2967e+01	 5.7137e+00	 3.6522e+02	
 5.0000e+01	 3.7165e+00	 1.0000e-04	 4.2866e+01	 5.7116e+00	 3.6565e+02	
 5.1000e+01	 3.7043e+00	 1.0000e-04	 4.2095e+01	 5.6945e+00	 3.5937e+02	
 5.2000e+01	 3.6671e+00	 1.0000e-04	 4.0477e+01	 5.6980e+00	 3.6204e+02	
 5.3000e+01	 3.6445e+00	 1.0000e-04	 3.9622e+01	 5.6948e+00	 3.6179e+02	
 5.4000e+01	 3.6053e+00	 1.0000e-04	 3.8008e+01	 5.6999e+00	 3.6545e+02	
 5.5000e+01	 3.5896e+00	 1.0000e-04	 3.7502e+01	 5.6764e+00	 3.5600e+02	
 5.6000e+01	 3.5757e+00	 1.0000e-04	 3.6942e+01	 5.6781e+00	 3.5755e+02	
 5.7000e+01	 3.5473e+00	 1.0000e-04	 3.5882e+01	 5.6749e+00	 3.5721e+02	
 5.8000e+01	 3.5247e+00	 1.0000e-04	 3.5179e+01	 5.6702e+00	 3.5651e+02	
 5.9000e+01	 3.4864e+00	 1.0000e-04	 3.3898e+01	 5.6768e+00	 3.5970e+02	
 6.0000e+01	 3.4788e+00	 1.0000e-04	 3.3580e+01	 5.6699e+00	 3.5755e+02	
 6.1000e+01	 3.4472e+00	 1.0000e-04	 3.2588e+01	 5.6683e+00	 3.5758e+02	
 6.2000e+01	 3.4361e+00	 1.0000e-04	 3.2135e+01	 5.6708e+00	 3.5895e+02	
 6.3000e+01	 3.4041e+00	 1.0000e-04	 3.1159e+01	 5.6634e+00	 3.5747e+02	
 6.4000e+01	 3.3782e+00	 1.0000e-04	 3.0255e+01	 5.6533e+00	 3.5350e+02	
 6.5000e+01	 3.3689e+00	 1.0000e-04	 3.0045e+01	 5.6621e+00	 3.5823e+02	
 6.6000e+01	 3.3415e+00	 1.0000e-04	 2.9201e+01	 5.6518e+00	 3.5462e+02	
 6.7000e+01	 3.3133e+00	 1.0000e-04	 2.8437e+01	 5.6582e+00	 3.5835e+02	
 6.8000e+01	 3.2955e+00	 1.0000e-04	 2.7884e+01	 5.6664e+00	 3.6253e+02	
 6.9000e+01	 3.2682e+00	 1.0000e-04	 2.7111e+01	 5.6470e+00	 3.5489e+02	
 7.0000e+01	 3.2376e+00	 1.0000e-04	 2.6270e+01	 5.6594e+00	 3.6047e+02	
 7.1000e+01	 3.2096e+00	 1.0000e-04	 2.5524e+01	 5.6485e+00	 3.5666e+02	
 7.2000e+01	 3.1972e+00	 1.0000e-04	 2.5233e+01	 5.6527e+00	 3.5848e+02	
 7.3000e+01	 3.1714e+00	 1.0000e-04	 2.4575e+01	 5.6436e+00	 3.5588e+02	
 7.4000e+01	 3.1545e+00	 1.0000e-04	 2.4150e+01	 5.6599e+00	 3.6323e+02	
 7.5000e+01	 3.1218e+00	 1.0000e-04	 2.3451e+01	 5.6509e+00	 3.5962e+02	
 7.6000e+01	 3.0964e+00	 1.0000e-04	 2.2766e+01	 5.6641e+00	 3.6581e+02	
 7.7000e+01	 3.0903e+00	 1.0000e-04	 2.2701e+01	 5.6552e+00	 3.6307e+02	
 7.8000e+01	 3.0724e+00	 1.0000e-04	 2.2235e+01	 5.6528e+00	 3.6294e+02	
 7.9000e+01	 3.0413e+00	 1.0000e-04	 2.1535e+01	 5.6544e+00	 3.6342e+02	
 8.0000e+01	 3.0344e+00	 1.0000e-04	 2.1360e+01	 5.6572e+00	 3.6495e+02	
 8.1000e+01	 3.0043e+00	 1.0000e-04	 2.0924e+01	 5.6638e+00	 3.6998e+02	
 8.2000e+01	 2.9828e+00	 1.0000e-04	 2.0393e+01	 5.6488e+00	 3.6307e+02	
