Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 1.0846e+01	 1.0000e-04	 5.1695e+04	 1.0768e+01	 4.7605e+04	
 2.0000e+00	 1.0709e+01	 1.0000e-04	 4.5116e+04	 1.0589e+01	 3.9792e+04	
 3.0000e+00	 1.0483e+01	 1.0000e-04	 3.6142e+04	 1.0198e+01	 2.6985e+04	
 4.0000e+00	 9.7667e+00	 1.0000e-04	 1.9450e+04	 8.5491e+00	 5.2387e+03	
 5.0000e+00	 7.1014e+00	 1.0000e-04	 1.9717e+03	 6.3804e+00	 6.1899e+02	
 6.0000e+00	 5.5287e+00	 1.0000e-04	 2.6515e+02	 6.2289e+00	 5.4498e+02	
 7.0000e+00	 5.2332e+00	 1.0000e-04	 1.9341e+02	 6.1935e+00	 5.3257e+02	
 8.0000e+00	 5.1087e+00	 1.0000e-04	 1.6921e+02	 6.1723e+00	 5.2533e+02	
 9.0000e+00	 5.0308e+00	 1.0000e-04	 1.5588e+02	 6.1555e+00	 5.1964e+02	
 1.0000e+01	 4.9605e+00	 1.0000e-04	 1.4578e+02	 6.1376e+00	 5.1326e+02	
 1.1000e+01	 4.8984e+00	 1.0000e-04	 1.3640e+02	 6.1169e+00	 5.0472e+02	
 1.2000e+01	 4.8381e+00	 1.0000e-04	 1.2919e+02	 6.0967e+00	 4.9653e+02	
 1.3000e+01	 4.7745e+00	 1.0000e-04	 1.2079e+02	 6.0744e+00	 4.8751e+02	
 1.4000e+01	 4.7347e+00	 1.0000e-04	 1.1599e+02	 6.0450e+00	 4.7549e+02	
 1.5000e+01	 4.6782e+00	 1.0000e-04	 1.0951e+02	 6.0230e+00	 4.6657e+02	
 1.6000e+01	 4.6399e+00	 1.0000e-04	 1.0599e+02	 6.0013e+00	 4.5778e+02	
 1.7000e+01	 4.5840e+00	 1.0000e-04	 9.9824e+01	 5.9794e+00	 4.4947e+02	
 1.8000e+01	 4.5382e+00	 1.0000e-04	 9.5358e+01	 5.9592e+00	 4.4203e+02	
 1.9000e+01	 4.4931e+00	 1.0000e-04	 9.1249e+01	 5.9452e+00	 4.3770e+02	
 2.0000e+01	 4.4424e+00	 1.0000e-04	 8.6847e+01	 5.9264e+00	 4.3086e+02	
 2.1000e+01	 4.3869e+00	 1.0000e-04	 8.1956e+01	 5.9091e+00	 4.2486e+02	
 2.2000e+01	 4.3635e+00	 1.0000e-04	 8.0362e+01	 5.8913e+00	 4.1850e+02	
 2.3000e+01	 4.3169e+00	 1.0000e-04	 7.6882e+01	 5.8788e+00	 4.1501e+02	
 2.4000e+01	 4.2685e+00	 1.0000e-04	 7.2927e+01	 5.8669e+00	 4.1131e+02	
 2.5000e+01	 4.2388e+00	 1.0000e-04	 7.1059e+01	 5.8439e+00	 4.0255e+02	
 2.6000e+01	 4.1930e+00	 1.0000e-04	 6.7743e+01	 5.8370e+00	 4.0141e+02	
 2.7000e+01	 4.1653e+00	 1.0000e-04	 6.6158e+01	 5.8277e+00	 3.9887e+02	
 2.8000e+01	 4.1397e+00	 1.0000e-04	 6.4260e+01	 5.8172e+00	 3.9562e+02	
 2.9000e+01	 4.0875e+00	 1.0000e-04	 6.1401e+01	 5.7986e+00	 3.8923e+02	
 3.0000e+01	 4.0656e+00	 1.0000e-04	 5.9695e+01	 5.7881e+00	 3.8587e+02	
 3.1000e+01	 4.0150e+00	 1.0000e-04	 5.7160e+01	 5.7879e+00	 3.8758e+02	
 3.2000e+01	 3.9978e+00	 1.0000e-04	 5.6114e+01	 5.7718e+00	 3.8160e+02	
 3.3000e+01	 3.9662e+00	 1.0000e-04	 5.4555e+01	 5.7625e+00	 3.7918e+02	
 3.4000e+01	 3.9312e+00	 1.0000e-04	 5.2752e+01	 5.7488e+00	 3.7447e+02	
 3.5000e+01	 3.8974e+00	 1.0000e-04	 5.0735e+01	 5.7499e+00	 3.7657e+02	
 3.6000e+01	 3.8558e+00	 1.0000e-04	 4.8699e+01	 5.7387e+00	 3.7316e+02	
 3.7000e+01	 3.8250e+00	 1.0000e-04	 4.7157e+01	 5.7330e+00	 3.7191e+02	
 3.8000e+01	 3.7958e+00	 1.0000e-04	 4.5819e+01	 5.7297e+00	 3.7142e+02	
 3.9000e+01	 3.7831e+00	 1.0000e-04	 4.5429e+01	 5.7168e+00	 3.6732e+02	
 4.0000e+01	 3.7443e+00	 1.0000e-04	 4.3566e+01	 5.7110e+00	 3.6584e+02	
 4.1000e+01	 3.7046e+00	 1.0000e-04	 4.1860e+01	 5.7113e+00	 3.6715e+02	
 4.2000e+01	 3.6799e+00	 1.0000e-04	 4.0926e+01	 5.7096e+00	 3.6754e+02	
 4.3000e+01	 3.6610e+00	 1.0000e-04	 4.0109e+01	 5.7015e+00	 3.6557e+02	
 4.4000e+01	 3.6337e+00	 1.0000e-04	 3.9096e+01	 5.6979e+00	 3.6471e+02	
 4.5000e+01	 3.5842e+00	 1.0000e-04	 3.7325e+01	 5.6900e+00	 3.6223e+02	
 4.6000e+01	 3.5659e+00	 1.0000e-04	 3.6439e+01	 5.6950e+00	 3.6512e+02	
 4.7000e+01	 3.5371e+00	 1.0000e-04	 3.5432e+01	 5.6834e+00	 3.6145e+02	
 4.8000e+01	 3.5361e+00	 1.0000e-04	 3.5341e+01	 5.6738e+00	 3.5829e+02	
 4.9000e+01	 3.4644e+00	 1.0000e-04	 3.3016e+01	 5.6752e+00	 3.5968e+02	
 5.0000e+01	 3.4499e+00	 1.0000e-04	 3.2513e+01	 5.6766e+00	 3.6091e+02	
 5.1000e+01	 3.4156e+00	 1.0000e-04	 3.1384e+01	 5.6698e+00	 3.5873e+02	
 5.2000e+01	 3.4053e+00	 1.0000e-04	 3.1108e+01	 5.6602e+00	 3.5627e+02	
 5.3000e+01	 3.3905e+00	 1.0000e-04	 3.0719e+01	 5.6620e+00	 3.5763e+02	
 5.4000e+01	 3.3570e+00	 1.0000e-04	 2.9666e+01	 5.6683e+00	 3.6109e+02	
 5.5000e+01	 3.3414e+00	 1.0000e-04	 2.9191e+01	 5.6649e+00	 3.6073e+02	
