Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 5.1448e+00	 1.0000e-04	 8.2549e+02	 4.5544e+00	 1.0314e+02	
 2.0000e+00	 4.1079e+00	 1.0000e-04	 6.5827e+01	 4.0510e+00	 6.1038e+01	
 3.0000e+00	 3.7290e+00	 1.0000e-04	 4.4605e+01	 3.8003e+00	 4.7423e+01	
 4.0000e+00	 3.5065e+00	 1.0000e-04	 3.5584e+01	 3.6482e+00	 4.0818e+01	
 5.0000e+00	 3.3489e+00	 1.0000e-04	 3.0314e+01	 3.5392e+00	 3.6678e+01	
 6.0000e+00	 3.2270e+00	 1.0000e-04	 2.6775e+01	 3.4571e+00	 3.3869e+01	
 7.0000e+00	 3.1282e+00	 1.0000e-04	 2.4207e+01	 3.3936e+00	 3.1872e+01	
 8.0000e+00	 3.0446e+00	 1.0000e-04	 2.2219e+01	 3.3416e+00	 3.0334e+01	
 9.0000e+00	 2.9723e+00	 1.0000e-04	 2.0630e+01	 3.2993e+00	 2.9152e+01	
 1.0000e+01	 2.9079e+00	 1.0000e-04	 1.9308e+01	 3.2609e+00	 2.8100e+01	
 1.1000e+01	 2.8494e+00	 1.0000e-04	 1.8179e+01	 3.2265e+00	 2.7191e+01	
 1.2000e+01	 2.7963e+00	 1.0000e-04	 1.7208e+01	 3.1991e+00	 2.6489e+01	
 1.3000e+01	 2.7477e+00	 1.0000e-04	 1.6366e+01	 3.1748e+00	 2.5882e+01	
 1.4000e+01	 2.7026e+00	 1.0000e-04	 1.5618e+01	 3.1556e+00	 2.5411e+01	
 1.5000e+01	 2.6603e+00	 1.0000e-04	 1.4950e+01	 3.1387e+00	 2.5002e+01	
